mean_x,std_x,min_x,max_x,mean_y,std_y,min_y,max_y,speed_mean,speed_std,acc_mean,acc_std,dom_freq,speed_energy,label,start_row,end_row
437.4,13.003076559030173,414.0,450.0,392.76,7.374442351798541,381.0,401.0,42.1295384933083,40.46729526841217,-81.25,293.55046414543443,0.5,2531.115622155332,1,0,50
429.46,17.164160334837238,407.0,450.0,388.62,8.867671622246734,378.0,401.0,45.71946877985648,42.246066970639156,15.625,298.51520585223125,1.0,3994.7617379053813,1,25,75
424.94,16.186920646003056,406.0,447.0,386.46,7.75940719385186,378.0,399.0,54.301894625770444,47.41496852315441,59.375,419.1346181419521,1.0,3798.654461725618,1,50,100
430.42,16.1939371370893,406.0,447.0,389.78,8.227490504400476,378.0,399.0,51.73808841372664,48.90726129414123,-9.375,417.40689455853504,1.5,5505.112025677612,1,75,125
422.08,15.414071493281714,405.0,445.0,385.74,7.992021020993375,377.0,399.0,53.691688215924806,45.017525659724136,25.0,368.90886408434267,1.5,4779.484419973691,1,100,150
429.94,16.249812306608344,405.0,448.0,388.54,8.447982007556599,377.0,400.0,58.95412177435145,45.27042661401525,-56.25,374.68736968304654,1.0,3866.8246835953187,1,125,175
425.64,17.86366143879804,403.0,448.0,385.66,9.341541628660657,376.0,400.0,58.61378001721218,47.717133108495304,18.75,386.0861302870125,1.0,4773.334326687645,1,150,200
425.32,17.919196410553685,403.0,450.0,384.5,8.193289937503737,376.0,398.0,68.17105817048969,57.84856807143727,-28.125,464.23870812869535,1.0,7006.2974613552105,1,175,225
432.42,16.301030642263086,406.0,450.0,387.72,7.7305627220791635,377.0,398.0,68.12488360229366,54.71174676588146,-71.875,472.08190827969673,1.5,5540.545327958899,1,200,250
424.66,18.670415099831068,402.0,450.0,385.48,7.692177845057927,377.0,399.0,59.73502778382226,48.674700365446355,43.75,428.5239929105487,1.0,4847.906718858234,1,225,275
425.18,18.882468059022372,402.0,450.0,386.14,7.701973773001307,378.0,399.0,57.37529358091813,48.431143766211584,3.125,379.5170656571322,1.0,4163.138075799388,1,250,300
430.76,16.890896956645022,404.0,449.0,387.94,8.23749962063732,378.0,399.0,53.67182606875489,39.49633003767973,-40.625,279.1763835373616,1.0,3669.361728704717,1,275,325
423.6,16.74037036627326,405.0,448.0,386.32,7.173395290934412,379.0,399.0,40.906874547279216,33.84342794063805,40.625,227.09527873780203,1.0,2702.574536582597,1,300,350
428.38,18.7668750728511,405.0,452.0,389.14,7.861323043864817,379.0,401.0,41.04012298580035,31.075847620143545,-21.875,218.77232028983923,1.0,2161.559056248279,1,325,375
429.9,18.46104005737488,402.0,452.0,388.2,8.809086218218097,377.0,401.0,64.94396203490324,42.548875369497715,28.125,297.59780430137585,1.0,4208.868398547837,1,350,400
431.88,19.84503968250001,402.0,453.0,388.3,8.67928568489366,377.0,400.0,61.33957971339643,43.156181024088376,-3.125,344.4453194993365,1.0,3662.067869766031,1,375,425
430.7,20.887556104053917,399.0,453.0,388.1,8.820997676000147,375.0,400.0,63.09604378123449,44.231089282952766,-3.125,379.5170656571322,1.0,5181.616007048674,1,400,450
428.12,18.60928800357499,399.0,449.0,387.48,8.64,375.0,400.0,64.66836416126624,44.18571801731705,40.625,327.46958351120185,1.0,3220.702022839224,1,425,475
429.1,17.40718242565407,401.0,449.0,387.24,8.86918260044295,375.0,400.0,61.45126588154666,37.064024627062004,9.375,295.49019125006504,1.0,1777.1488735532773,1,450,500
431.36,19.29016329635392,401.0,451.0,388.76,9.780715720232338,375.0,401.0,55.92950095956942,41.68352099347562,-21.875,357.68624956098046,1.0,5188.381689831531,1,475,525
432.16,19.336349190061707,404.0,451.0,389.2,9.353074360871938,376.0,401.0,53.2733010307026,44.610317161976575,-40.625,328.9572778112684,1.0,5409.263387336283,1,500,550
428.56,17.996844167797864,404.0,450.0,387.82,9.90492806637181,376.0,403.0,55.61854998100817,44.020755309400315,50.0,262.2766907294661,1.0,2242.9109212573003,1,525,575
